Query,Docs (Index)
Trà hoa cúc,"3, 36, 65, 70"
Trà hỗ trợ ung thư,"0, 7, 12, 17, 21, 23, 26, 31, 36, 46, 47, 54, 60, 63, 66, 71, 75, 77, 86, 88, 97"
Sản phẩm giúp ăn ngon miệng,"0, 3, 5, 9, 10, 12, 18, 31, 55, 64, 72, 85, 99, 101, 103"
Cao atiso,"5, 10, 18, 32, 33, 101, 102, 103"
Trà thượng hạng,"6, 20, 59, 88, 104, 105"
Trà nở hoa nghệ thuật,"3, 45"
Trà hoa quả,43
Sản phẩm từ chuối hột,49
Sản phẩm từ Đà Lạt,"5, 18, 24, 32, 33"
Sản phẩm giúp làm lành sẹo,"1, 29, 84"
Sản phẩm từ xạ đen,"7, 26"
Nguyên liệu là kỷ tử,"3, 11, 25, 52, 82, 91, 92, 93, 94, 95"
Nguyên liệu là lá sen,56
Sản phẩm sấy khô,"0, 1, 24, 25, 30, 31, 34, 35, 41, 43, 44, 46, 48, 49, 54, 55, 56, 64"
Sản phẩm có nguyên liệu từ sen,"11, 17, 21, 54, 56, 57, 68, 73, 74, 78, 82, 90, 91, 92, 93, 94, 95"
Sản phẩm từ Tây Bắc,"8, 16, 50, 78, 81"
Sản phẩm dạng bột,"9, 14, 16, 17, 21, 22, 23, 29, 42, 44, 49, 51, 54, 56, 58"
Các sản phẩm hồng leo,2
Các sản phẩm hương thảo,41
Có nguyên liệu dùng làm gia vị trong món thịt,41
Loại trà để giúp tăng cường trí nhớ,"23, 41, 46, 72, 54, 53, 49, 14, 51, 70"
Loại trà giúp giảm cân một cách an toàn,"75, 66, 47, 93, 44, 22, 85, 74, 56, 64"
Loại trà thích hợp để làm quà tặng vào dịp lễ,"3, 61, 45, 33, 48, 5, 19, 105, 20, 78"
Sản phẩm hỗ trợ thanh lọc gan,"86, 87, 7, 70, 62, 99, 60, 76, 88, 65"
Trà phù hợp với người thường xuyên bị cảm lạnh và viêm họng,"2, 42, 73, 19, 74, 65, 76, 4, 66, 64"
Loại trà giúp cải thiện tình trạng tiêu hóa,"2, 69, 74, 7, 73, 19, 63, 66, 64, 75"
Sản phẩm hỗ trợ điều trị cao huyết áp,"59, 7, 15, 93, 95, 94, 105, 11, 91, 92"
Thành phần trong trà giúp giảm đau bụng kinh,"65, 76, 73, 2, 74, 19, 4, 1, 71, 56"
Công dụng trà chứa cỏ ngọt ,"44, 89, 13, 48, 3, 1, 52, 8, 11, 99"
Chất chống oxy hóa trong trà,"47, 40, 46, 77, 2, 66, 41, 68, 69, 21"
Chất giúp giảm cholesterol,"46, 88, 29, 47, 61, 2, 11, 91, 35, 40"
Các chất tự nhiên trong trà,"64, 35, 76, 65, 4, 2, 69, 73, 19, 74"
Loại trà tốt cho phụ nữ sau sinh,"12, 85, 63, 26, 30, 49, 51, 65, 53, 17"
Loại trà có thể sử dụng cho người cao tuổi,"33, 16, 94, 93, 96, 95, 92, 91, 11, 90"
Loại trà có tác dụng hỗ trợ giảm mỡ máu,"7, 85, 15, 37, 8, 93, 46, 56, 79, 59"
Loại trà có thể pha chế thành đồ uống lạnh,"19, 73, 74, 97, 2, 16, 65, 76, 4, 44"
Trà nào thích hợp để uống kèm với bánh ngọt,"74, 44, 49, 36, 73, 41, 5, 72, 48, 86"
Loại trà để tặng sếp,"33, 3, 49, 4, 65, 76, 9, 16, 19, 46"
Loại trà có thể giúp giảm căng thẳng và áp lực trong công việc,"65, 48, 73, 2, 74, 19, 41, 18, 34, 76"
Công dụng của hoa cúc trong trà,"4, 65, 76, 70, 72, 36, 3, 48, 52, 71"
"Công dụng thải độc gan, thanh lọc cơ thể","32, 35, 18, 103"
Trà được dùng để hạ đường huyết,"0, 6, 14, 15, 16, 31, 33, 59, 79, 89, 104, 105"
Sản phẩm hỗ trợ trị nám ,"5, 10, 18, 34, 102, 103"
"Trà không kỵ thai, thuốc tây",35
Sản phẩm có mùi thơm dịu,"38, 41, 45, 74"
Trà nụ hoa hòe,37
Loại trà không nên uống vào lúc đói,40
Sản phẩm được dùng để uống thay nước giải khát,"5, 10, 18, 25, 101, 102, 103"
Loại trà có tác dụng giảm gút,"51, 57"
Loại trà không phù hợp với người mang thai,"12, 41, 44, 56, 79, 85"
Trà có công dụng tăng cường sinh lực,"27, 41, 49, 57, 97"
Trà có tác dụng giải độc nấm,56
Được mệnh danh như thần dược,"7, 23, 26, 60, 67, 78"
Sản phẩm có tác dụng chữa rắn cắn,"60, 67, 86, 87"
Thường được dùng làm quà tặng ,"3, 5, 19, 20, 48, 61, 78, 105"
Sản phẩm được dùng để ngừa sâu răng,"40, 46, 60, 79, 80, 86"
Có công dụng giải rượu,"8, 28, 60, 86"
Sản phẩm giúp đen tóc ,"16, 27, 97"
Có tác dụng giảm đau bụng kinh,"2, 4, 19, 49, 51, 65, 71, 73, 74, 76, 99"
"Giúp thông kinh mạch, tốt cho người già",22
Sản phẩm có công dụng ngăn ngừa mụn trứng cá,"2, 9, 19, 35, 64, 73, 74"
