Tokenizer,Vectorstore,Reranker,Mode,Avg Precision@10,Avg Recall@10,Avg F1-Score@10,Avg MRR@10,Hit Rate@10,Avg NDCG@10
bge reranker,halong,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
bge reranker,halong,bge reranker,semantic,0.286,0.3582,0.2753,0.7691,0.8361,0.6339
bge reranker,halong,bge reranker,hybrid,0.4842,0.6129,0.4608,0.9126,0.9672,0.9987
bge reranker,text-small,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
bge reranker,text-small,bge reranker,semantic,0.264,0.3642,0.2607,0.7179,0.8033,0.5684
bge reranker,text-small,bge reranker,hybrid,0.4916,0.622,0.4729,0.9139,0.9672,0.9914
bge reranker,text-large,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
bge reranker,text-large,bge reranker,semantic,0.2853,0.3723,0.2743,0.7379,0.8197,0.6491
bge reranker,text-large,bge reranker,hybrid,0.4892,0.6197,0.4668,0.9094,0.9672,1.0047
bge reranker,halong,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
bge reranker,halong,phoranker,semantic,0.286,0.3582,0.2753,0.7131,0.8361,0.6014
bge reranker,halong,phoranker,hybrid,0.4058,0.5514,0.3941,0.839,0.9672,0.8708
bge reranker,text-small,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
bge reranker,text-small,phoranker,semantic,0.264,0.3642,0.2607,0.6392,0.8033,0.526
bge reranker,text-small,phoranker,hybrid,0.4375,0.5748,0.4181,0.8273,0.9672,0.8665
bge reranker,text-large,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
bge reranker,text-large,phoranker,semantic,0.2853,0.3723,0.2743,0.6421,0.8197,0.6038
bge reranker,text-large,phoranker,hybrid,0.429,0.5603,0.4038,0.7868,0.9672,0.8707
PhoRanker,halong,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
PhoRanker,halong,bge reranker,semantic,0.2806,0.3582,0.2728,0.7684,0.8361,0.632
PhoRanker,halong,bge reranker,hybrid,0.4777,0.6085,0.4557,0.9126,0.9672,0.9931
PhoRanker,text-small,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
PhoRanker,text-small,bge reranker,semantic,0.2606,0.3642,0.2593,0.7097,0.8033,0.5653
PhoRanker,text-small,bge reranker,hybrid,0.4815,0.6171,0.4657,0.9139,0.9672,0.984
PhoRanker,text-large,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
PhoRanker,text-large,bge reranker,semantic,0.2753,0.3677,0.2677,0.7224,0.8197,0.6445
PhoRanker,text-large,bge reranker,hybrid,0.4824,0.6134,0.4601,0.9081,0.9672,1.0025
PhoRanker,halong,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
PhoRanker,halong,phoranker,semantic,0.2806,0.3582,0.2728,0.7124,0.8361,0.6003
PhoRanker,halong,phoranker,hybrid,0.4067,0.5542,0.396,0.839,0.9672,0.869
PhoRanker,text-small,phoranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
PhoRanker,text-small,phoranker,semantic,0.2606,0.3642,0.2593,0.7097,0.8033,0.5653
PhoRanker,text-small,phoranker,hybrid,0.4815,0.6171,0.4657,0.9139,0.9672,0.984
PhoRanker,text-large,phoranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
PhoRanker,text-large,phoranker,semantic,0.2753,0.3677,0.267,0.7224,0.8197,0.6459
PhoRanker,text-large,phoranker,hybrid,0.4826,0.6132,0.46,0.9081,0.9672,1.0026
visobert,halong,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
visobert,halong,bge reranker,semantic,0.2815,0.3582,0.2734,0.7684,0.8361,0.6346
visobert,halong,bge reranker,hybrid,0.4813,0.6113,0.4584,0.9126,0.9672,0.9961
visobert,text-small,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
visobert,text-small,bge reranker,semantic,0.2591,0.3658,0.2598,0.7097,0.8033,0.5653
visobert,text-small,bge reranker,hybrid,0.485,0.6171,0.4673,0.9139,0.9672,0.987
visobert,text-large,bge reranker,bm25,0.4391,0.6195,0.4466,0.8969,0.9672,0.8778
visobert,text-large,bge reranker,semantic,0.2791,0.3693,0.2703,0.7227,0.8197,0.6472
visobert,text-large,bge reranker,hybrid,0.4882,0.6172,0.4648,0.9081,0.9672,1.0048
visobert,halong,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
visobert,halong,phoranker,semantic,0.2815,0.3582,0.2734,0.7124,0.8361,0.6023
visobert,halong,phoranker,hybrid,0.4039,0.5498,0.3923,0.839,0.9672,0.8698
visobert,text-small,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
visobert,text-small,phoranker,semantic,0.2591,0.3658,0.2598,0.6384,0.8033,0.525
visobert,text-small,phoranker,hybrid,0.4336,0.5696,0.414,0.827,0.9672,0.8633
visobert,text-large,phoranker,bm25,0.4391,0.6195,0.4466,0.8267,0.9672,0.8415
visobert,text-large,phoranker,semantic,0.2817,0.3734,0.2734,0.6475,0.8361,0.6087
visobert,text-large,phoranker,hybrid,0.4233,0.5532,0.3968,0.7933,0.9508,0.8711
